,Category,sub1,Role,Exp,Range,Display Role
0,Legal,Lawyer - In-house,Lawyer_-_Emerging_Tech_(Consumer_Tech_and_Fintech)_Lawyer_-_In-house,3 - 5 years,15 - 40,Lawyer - Emerging Tech (Consumer Tech & Fintech) in Lawyer - In-house
1,Legal,Lawyer - In-house,Lawyer_-_Emerging_Tech_(Consumer_Tech_and_Fintech)_Lawyer_-_In-house,5 - 10 years,30 - 80,Lawyer - Emerging Tech (Consumer Tech & Fintech) in Lawyer - In-house
2,Legal,Lawyer - In-house,Lawyer_-_Emerging_Tech_(Consumer_Tech_and_Fintech)_Lawyer_-_In-house,10 - 15 years,75 - 150,Lawyer - Emerging Tech (Consumer Tech & Fintech) in Lawyer - In-house
3,Legal,Lawyer - In-house,Lawyer_-_Emerging_Tech_(Consumer_Tech_and_Fintech)_Lawyer_-_In-house,15+ years,120+,Lawyer - Emerging Tech (Consumer Tech & Fintech) in Lawyer - In-house
4,Legal,Lawyer - In-house,"Lawyer_-_Financial_Services_-_Front_Office_(IB,_PE,_VC,_Structured_Debt,_AIF)_Lawyer_-_In-house",3 - 5 years,30 - 50,"Lawyer - Financial Services - Front Office (IB, PE, VC, Structured Debt, AIF) in Lawyer - In-house"
5,Legal,Lawyer - In-house,"Lawyer_-_Financial_Services_-_Front_Office_(IB,_PE,_VC,_Structured_Debt,_AIF)_Lawyer_-_In-house",5 - 10 years,50 - 140,"Lawyer - Financial Services - Front Office (IB, PE, VC, Structured Debt, AIF) in Lawyer - In-house"
6,Legal,Lawyer - In-house,"Lawyer_-_Financial_Services_-_Front_Office_(IB,_PE,_VC,_Structured_Debt,_AIF)_Lawyer_-_In-house",10 - 15 years,90 - 200,"Lawyer - Financial Services - Front Office (IB, PE, VC, Structured Debt, AIF) in Lawyer - In-house"
7,Legal,Lawyer - In-house,"Lawyer_-_Financial_Services_-_Front_Office_(IB,_PE,_VC,_Structured_Debt,_AIF)_Lawyer_-_In-house",15+ years,175+,"Lawyer - Financial Services - Front Office (IB, PE, VC, Structured Debt, AIF) in Lawyer - In-house"
8,Legal,Lawyer - In-house,Lawyer_-_Financial_Services_-_Others_Lawyer_-_In-house,3 - 5 years,15 - 35,Lawyer - Financial Services - Others in Lawyer - In-house
9,Legal,Lawyer - In-house,Lawyer_-_Financial_Services_-_Others_Lawyer_-_In-house,5 - 10 years,30 - 70,Lawyer - Financial Services - Others in Lawyer - In-house
10,Legal,Lawyer - In-house,Lawyer_-_Financial_Services_-_Others_Lawyer_-_In-house,10 - 15 years,60 - 120,Lawyer - Financial Services - Others in Lawyer - In-house
11,Legal,Lawyer - In-house,Lawyer_-_Financial_Services_-_Others_Lawyer_-_In-house,15+ years,80+,Lawyer - Financial Services - Others in Lawyer - In-house
12,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2B)_Lawyer_-_In-house,3 - 5 years,15 - 30,Lawyer - Manufacturing (B2B) in Lawyer - In-house
13,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2B)_Lawyer_-_In-house,5 - 10 years,30 - 75,Lawyer - Manufacturing (B2B) in Lawyer - In-house
14,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2B)_Lawyer_-_In-house,10 - 15 years,50 - 120,Lawyer - Manufacturing (B2B) in Lawyer - In-house
15,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2B)_Lawyer_-_In-house,15+ years,90+,Lawyer - Manufacturing (B2B) in Lawyer - In-house
16,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2C_and_Pharma)_Lawyer_-_In-house,3 - 5 years,15 - 35,Lawyer - Manufacturing (B2C & Pharma) in Lawyer - In-house
17,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2C_and_Pharma)_Lawyer_-_In-house,5 - 10 years,30 - 75,Lawyer - Manufacturing (B2C & Pharma) in Lawyer - In-house
18,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2C_and_Pharma)_Lawyer_-_In-house,10 - 15 years,65 - 120,Lawyer - Manufacturing (B2C & Pharma) in Lawyer - In-house
19,Legal,Lawyer - In-house,Lawyer_-_Manufacturing_(B2C_and_Pharma)_Lawyer_-_In-house,15+ years,100+,Lawyer - Manufacturing (B2C & Pharma) in Lawyer - In-house
20,Legal,Lawyer - In-house,"Lawyer_-_Energy,_Infrastructure_and_Renewables_Lawyer_-_In-house",3 - 5 years,15 - 45,"Lawyer - Energy, Infrastructure & Renewables in Lawyer - In-house"
21,Legal,Lawyer - In-house,"Lawyer_-_Energy,_Infrastructure_and_Renewables_Lawyer_-_In-house",5 - 10 years,40 - 80,"Lawyer - Energy, Infrastructure & Renewables in Lawyer - In-house"
22,Legal,Lawyer - In-house,"Lawyer_-_Energy,_Infrastructure_and_Renewables_Lawyer_-_In-house",10 - 15 years,65 - 150,"Lawyer - Energy, Infrastructure & Renewables in Lawyer - In-house"
